salesid;salespersonid;customerid;productid;quantity;discount;totalprice;salesdate;transactionnumber
8903;9;64997;50;17;;0;20180508;TYAKXGZQRYX2ZEAB3JB6
9011;16;60342;242;16;;0;20180508;CW5C7PS05NS52RCQ43PZ
9275;1;13168;122;4;0.1;0;20180508;03XQEKDAQZ7J5ZBR5SQR
9510;21;65446;146;17;;0;20180508;ZCULRORSSR9CJJ4SYJ5E
9733;19;42299;386;11;;0;20180508;5X21RCKY8P9T6X7AWVZJ
10230;10;9469;60;3;;0;20180508;ECYTEBCR7ARZL94QVBVD
10371;4;62185;143;16;;0;20180508;YUSKDBG47139O7R8XP5J
10476;15;48007;120;13;;0;20180508;YU1VBRVHZD3TMIV5RF05
10693;10;84535;223;22;;0;20180508;4U8RVMPS4EZD2YEH3S5S
10777;18;43543;446;12;0.1;0;20180508;W5EFHCN2FOTZXR89510G
10782;23;98101;16;25;;0;20180508;UOD4QQXC4K2389L6EPV7
10818;10;59009;155;15;;0;20180508;L23F68VHX372JTTWXAG6
10911;21;86183;166;22;;0;20180508;GRKCT83HPHV8PFMRM72F
10934;4;67734;227;18;;0;20180508;GA9IK1SGF29FD3GRDJBX
10964;14;55636;6;15;;0;20180508;O6Y6CTMICOSJTOX89EYU
11237;10;49171;277;13;;0;20180508;4NA7QFMM5Q4OUMALXJAV
11509;6;68626;160;18;;0;20180508;XXF8Q8U0IKRSPFRVNHN0
11638;18;67327;28;18;0.1;0;20180508;UXI0XGC8PTZQCA94Z94M
11778;18;14432;323;4;;0;20180508;2PT029INVI8IN8DE7V5G
11842;7;11914;411;4;;0;20180508;O9PTZJ4WRHNF0U7TGFON
12130;13;11761;229;3;;0;20180508;A8K58CQAJDY7MN4NBJXB
12170;20;29823;221;8;;0;20180508;AA9XL9OQ0KN3XFR8K50Q
12465;7;27431;356;7;;0;20180508;TJJ2OQNJ5QOO8LPYXJTJ
12792;19;77970;343;20;;0;20180508;75ATK9NO476PFM0SZGYH
12906;4;21420;364;6;;0;20180508;NG3LQJKVU8WQNCXRLDRZ
12980;21;48996;176;13;0.2;0;20180508;KEAVV8CYOLRA5CGNW61R
13058;10;80934;420;21;0.1;0;20180508;JYTDWQBCBWWNM55AGFKW
13297;13;1211;90;1;;0;20180508;LSX7RJCEIZDY5YV9D0UQ
13381;19;39082;139;10;0.1;0;20180508;VEPWDOT5XRHI6DXTIX6X
13416;11;34934;318;9;;0;20180508;P7R1WA61ZNJ6M93OIW7B
13478;1;48340;318;13;;0;20180508;DCKN9AY8XD78EN91YGD2
13521;11;19493;154;5;;0;20180508;252K45C4VW8MFRQ3AWOR
13645;13;53501;247;14;;0;20180508;SZ4A6MXG81B9RING9KFV
13669;17;21074;219;6;;0;20180508;DT6LQG2FZZLT2YVQHE1D
13738;13;6330;397;2;;0;20180508;ZL9D89YID4SD3PB7LV5A
13746;15;3064;282;1;;0;20180508;A7ZIIM00ET7O4RFZYWKM
13765;13;89856;207;23;;0;20180508;J9UFRT9RZSQLXM1SUJIN
13768;7;56207;8;15;;0;20180508;ZHUC5Y1U2FI29BLO4RN6
13810;17;21532;218;6;;0;20180508;27IL5JARUM7491Y6ZP2X
13831;2;64260;27;17;;0;20180508;T5HBYKYXM0TW2CU5HJJM
13943;20;15988;55;5;0.2;0;20180508;CEIL3N3LISMZO1NE8THQ
13948;3;20773;162;6;0.1;0;20180508;ZA0C876A3TSOEJH3LYKK
14062;12;36542;313;10;;0;20180508;0UF1CV456M7RNTUYXV58
14071;23;36471;196;10;;0;20180508;RHXA6NGDBOX63YB7C1VL
14096;18;25031;447;7;;0;20180508;MNKOHQFU8XCH1DSN3RRI
14372;15;10328;139;3;;0;20180508;B7N90J17PE4CO824WZXR
14455;21;6141;143;2;0.2;0;20180508;OZJ3M5TNYKRQN1C8NMM8
14489;13;4865;139;2;;0;20180508;0RZXEI6VXXAEKABCGBM1
14520;3;18025;132;5;;0;20180508;ZYMJYJCCKGEU66M7LFK1
14635;1;9961;325;3;;0;20180508;7THUE6JTOKHY4KRSD2JQ
14649;14;93852;448;24;;0;20180508;EKO1IBAX7OOCFP2VU886
14866;3;77656;363;20;;0;20180508;90U5TEN81MW339Y33NBL
15301;2;88107;52;23;;0;20180508;QPE4NYFEVX7AB41I7RQK
15462;21;90249;200;23;;0;20180508;1ZS60KTPU6RXQG5MX5HH
15518;6;68054;154;18;;0;20180508;6CC18IJ6VKDFHC61QORR
15759;22;72780;425;19;;0;20180508;NOCORDW1BYKGXW7GESFR
15902;12;61705;371;16;;0;20180508;JY84FKFBFWH2MR225W08
16241;17;48821;77;13;;0;20180508;NZ8668XG0SELM5U1VYJ7
16323;13;19312;314;5;;0;20180508;LD4KQZT7RZII466TDVQM
16334;21;815;76;1;;0;20180508;E6UKDDDZCMPUMLZR5BXG
16506;4;92465;280;24;;0;20180508;YD5QJHHPWPPTYUXIBJX4
16843;16;62050;27;16;;0;20180508;7UL1GPD50O9ZDPS2O8QY
17005;17;64667;34;17;;0;20180508;19HW7WEO8IYA44DKVAMY
17022;15;87902;359;23;;0;20180508;BBM2PGD3KJ0IP15R9333
17384;10;6815;237;2;;0;20180508;V2ZEDC3HXLJ8ZWWL78F9
17439;12;83779;396;22;;0;20180508;0ETP68JFOMFDXVRXKK8Z
17650;6;97650;57;25;;0;20180508;TFWBQY1IOW39U69E2BYU
17678;18;90798;285;23;0.2;0;20180508;PSC7CLCM23ZQJWVZJM29
17708;9;16109;170;5;;0;20180508;HGE1RHBC1GE2BTPLCQ4H
17833;16;83500;39;22;;0;20180508;LZV1J91UOQDW1BVC6Y6O
17917;13;82510;117;21;0.2;0;20180508;7RD42NJRVXAFVXQ2CPKW
18192;13;24860;138;7;;0;20180508;B5MUAEN0E807CGGQQD7I
18255;19;15878;95;5;;0;20180508;1P96N9PWFEIHWNOOJP48
18308;14;78199;47;20;;0;20180508;4OPAZRFVBFVIR3786MGA
18586;3;70532;283;18;;0;20180508;BDHRXXQM8RR97TAV2S8W
18842;5;87299;428;23;;0;20180508;B79P3TYW2TNNSK7Y2M2P
19058;17;58665;422;15;;0;20180508;P0JDRKDRSAZL6Z84FNYR
19164;5;61514;348;16;0.1;0;20180508;Z4JWY3JT9AXZSXQNO0HT
19258;10;53075;324;14;;0;20180508;KZODD940JMDCK6XM6EI1
19611;17;73713;142;19;;0;20180508;22169OLV8HH2AOXA0S6R
19702;14;17539;245;5;;0;20180508;VOT5JLXW781HI22QJ1DM
19757;19;20097;372;6;;0;20180508;63YQ2XKPGGYSZDHDFL63
19775;11;90177;280;23;;0;20180508;O0OLM1GKSJKBBPISJOWW
19888;5;27232;187;7;;0;20180508;RA87TIV419QXSU6MG7A6
19897;4;19312;110;5;;0;20180508;LZ1PQCQDSZPIGTOKABBM
20571;9;7086;46;2;;0;20180508;8DN31QC9OBDTUR54TGXG
20723;14;26357;350;7;;0;20180508;T74ZNCY2RP6F83QF3GEQ
20802;16;31220;115;8;;0;20180508;AWVUTHYA2AW4I9S88TDX
21054;1;15425;165;4;;0;20180508;T6HGXVOSM82JEXSCCC10
21274;14;95115;19;25;;0;20180508;5M48KIK1111TYK9XFQA3
21440;21;22339;104;6;;0;20180508;CSLSNFHALBZTMJRGDW95
21675;3;45583;440;12;;0;20180508;LWTQ0DIOH7RSP0BAGZYT
21699;12;53495;286;14;;0;20180508;QXWVAK6UUQHWN0CMSFSN
21747;15;19319;24;5;;0;20180508;N1J96X1SXD967X3XGQRF
21778;4;39962;133;11;0.2;0;20180508;WHUX3S3DFV9MZLD7VTF2
21789;5;49482;195;13;0.2;0;20180508;JW74XY14OFPHWX0DXW35
21933;6;75671;18;20;;0;20180508;ISSY0VIRPA5KHNL8SFN0
21958;22;75712;247;20;0.1;0;20180508;7A34FXEM0HJ7CLKGL5S4
21981;3;2131;389;1;0.2;0;20180508;H8U8VDN5SVBNGQG02UKY
22228;17;18225;395;5;;0;20180508;JOX6A29YBN6BGDCJLQYJ
22556;9;37687;403;10;;0;20180508;SY8HCPGKR9LDD61DX742
22618;21;40322;296;11;;0;20180508;TCDVCZCCWO80EF1ZUJZR
22719;14;56001;5;15;;0;20180508;IQ8XRDPCHM4OXD8CAUJT
22868;18;16250;121;5;;0;20180508;ME5PW3C1AJOT7ITB25DA
23364;11;57433;134;15;;0;20180508;BCJ7T3M2P790FLXC31TI
23528;4;59862;363;16;0.2;0;20180508;QOKQ5S149IFVJ8ETGFNA
23840;12;50488;251;13;0.1;0;20180508;BSPR64OFIQULX252M781
24045;16;73054;368;19;;0;20180508;9H0JJ9HWCYDJA8MO6OKU
24093;14;24919;343;7;;0;20180508;C5SL35EGY5P436U0JXOY
24195;8;76930;421;20;0.2;0;20180508;6TUHEK56I7ETH7P2EG3X
24200;20;81527;353;21;;0;20180508;540FTLT1RFFQ88LAVAH9
24438;7;92586;410;24;;0;20180508;6XP3KGKC042CC96JRGWS
24570;21;63483;129;17;;0;20180508;KI7SP8LBPB1U7CH137F8
24890;20;42159;133;11;0.2;0;20180508;G0EVE48WNC90SUXERIJ2
25043;10;61487;413;16;;0;20180508;I5GG9WMDSNW6MFLH1K7Q
25045;16;46826;70;12;;0;20180508;Q3Z4AAFE79PJ9U5XQC58
25215;11;98398;355;25;0.1;0;20180508;MK14P4FQRZDTHJX15IHZ
25524;5;96300;74;25;0.2;0;20180508;VQLY52VX40IXPQS1VN7Z
25571;6;94929;255;25;;0;20180508;CUDQWI9W2PL53MULR6IW
25625;9;18732;190;5;;0;20180508;FN1D7Z2RCQNCB3KN6BVL
25759;21;74301;258;19;;0;20180508;VRG2B2SOCXGY4LVFWBQ8
25868;7;42563;81;11;;0;20180508;5ULX9GOYCUKDY753YIIR
25890;7;59041;248;15;;0;20180508;CGAF8I4VEXWHEPN5ORSF
25995;15;70597;167;18;;0;20180508;OLWSXMZCVNWUQOW398QT
26279;10;51851;97;14;;0;20180508;8PRC8OIV8EE2WHHVWST5
26609;14;96645;252;25;0.1;0;20180508;B1VA4C7ZVXFJZJ6K3237
26837;15;34519;205;9;;0;20180508;P275VEY3BD179UH84ETC
27477;22;53427;434;14;;0;20180508;PT0JZPYE7MNPJX47RUBC
27521;23;87219;99;23;;0;20180508;U0P5KOLZLVUSI7QFS10N
27558;22;61784;69;16;;0;20180508;74M0Y00GOPYJ2J3S59MR
28117;10;42761;204;11;;0;20180508;5J9H86XA5CBVLQ4FFN9G
28256;5;77602;83;20;;0;20180508;EEOHVEUIV9UCQNFS8R4N
28358;20;90894;254;24;;0;20180508;4Q3GBPWZ9UZ92A5663HE
28540;6;32867;426;9;;0;20180508;RIVF3OPYRSVDEJ9EWSIY
28679;5;22560;130;6;0.1;0;20180508;X8KRPA0VYMPDU7SH24PO
28687;18;15564;341;4;0.1;0;20180508;Z3YB3U2A1P5QEFHC2KKH
28739;14;36425;29;10;0.2;0;20180508;4YZRFIQALFVNKHRVSGNE
28742;2;46556;23;12;;0;20180508;JRCK76WLLEI1JDMSNBEH
28876;17;66914;291;17;0.1;0;20180508;GKAJL8DW5X46OCEQJ0LA
29026;22;71419;398;19;0.2;0;20180508;0YD7VAPB1JV5GCVA4NOL
29087;21;46985;156;12;;0;20180508;S3EJBLMAJWK3WOXYAPMJ
29480;16;63994;275;17;;0;20180508;TJFH1G1RI5JYWD7AAYEZ
29502;7;75432;3;20;;0;20180508;ZGWW629JBXJP107LKYLH
29716;18;16583;133;5;;0;20180508;7AGWL2ZJ0ITNZL5YJC9L
29805;15;820;21;1;;0;20180508;A3AKW7JII23GNG8RD9FG
30035;11;85962;436;22;0.2;0;20180508;26VT7N65W5W1PJTX1IIS
30092;22;91694;192;24;;0;20180508;C9VLX8AP4C68RE0SLKWY
30237;18;34890;100;9;;0;20180508;W8SK6GPLEEGDZC6A5O7M
30258;9;66828;58;17;;0;20180508;JHMT6O9AAB7VD88WT6ZH
30296;1;96907;181;25;;0;20180508;0BMFGJX4TFWJ8PM3031W
30568;3;26682;233;7;;0;20180508;1A948LWPYBJ1FQ4ASU29
30605;21;56292;53;15;;0;20180508;JV2Z8RLC4VOUHOVK6FLP
30736;4;26395;430;7;;0;20180508;1GX70LEGZZRV8FGA9TTR
30763;6;96197;24;25;0.2;0;20180508;JIN2G59J3YVJCXEJ6UBF
30793;17;27328;290;7;;0;20180508;PGM5U64757DNSHL6F615
30797;21;98561;302;25;0.2;0;20180508;6DL9WVQ8BJM4PZUFJGTO
30814;1;7370;290;2;0.1;0;20180508;Q12SHHG7GEWZ36A8EW9P
30876;14;47655;385;13;;0;20180508;HYNKH7I086O4V2MRN7VP
31131;20;66059;184;17;;0;20180508;YBYW6CS925PY2RUJCIIB
31411;8;72636;170;19;;0;20180508;V8HMYQN45FFND7RFUAIM
31528;8;29504;346;8;;0;20180508;S2RIZG1I6LWK5CF5KMVK
31603;11;41013;157;11;;0;20180508;L6AWHSIUUJOXVG6LEW45
32055;12;85494;413;22;;0;20180508;UTWK2KJCH4795NXBTMRR
32162;8;60398;28;16;;0;20180508;FNMN9064COKND55SKL6X
32329;14;67879;380;18;;0;20180508;OV0ZE9VGLG5LEU65A2ID
32440;4;37407;312;10;;0;20180508;VO8T7W3QDFRC7BQFT25Q
32700;17;64825;44;17;;0;20180508;QMOD5H6R5PF8BDOXOVCN
32714;14;88178;170;23;0.2;0;20180508;VT3VWX7QQ4VKVB4WLR6P
32720;21;30216;181;8;;0;20180508;FGGEUU8MJ2PGJ325MTBE
32722;11;62503;189;16;;0;20180508;FWFMAB2955MCLF8IA2LN
33090;19;3573;187;1;;0;20180508;LL6FEL89FOIYPDS1KTPO
33509;8;88542;347;23;;0;20180508;57Z4IYR4LFW6XIZU4PPR
33634;14;65970;125;17;;0;20180508;TR0FEXYSPFIXNU2SHW67
33727;17;45320;36;12;;0;20180508;BZRZQ58UQ1NPOMPO6PHC
33772;21;43310;351;11;;0;20180508;5UG3VOJQI8BD9E0XKZSR
33811;4;85490;427;22;;0;20180508;JZBNJNKVXFZZRWZCWT2J
33838;8;52736;379;14;;0;20180508;R9HJOVGNS7L7TZ0XSR83
33846;11;88250;28;23;;0;20180508;GLFG38Q67K2W4CTIZA2L
33856;2;21626;196;6;;0;20180508;Y2I97O7OXWXY8KJOXOY6
33862;9;20511;220;6;;0;20180508;CROUX9FQR03ROD19D3JP
33984;6;84458;129;22;;0;20180508;Q5X4ON99X3CZIAVWOK03
34312;18;6250;224;2;;0;20180508;IHBPIVR6LS2P4TN97T4U
34353;20;5518;404;2;;0;20180508;04NLZJUG922744UKZX3L
34358;21;34580;257;9;;0;20180508;E5C4CATJFD0AJM87K9SY
34467;13;71892;10;19;;0;20180508;3JUMKZE0K2IDTSZ4MR2Z
34491;22;32074;191;9;;0;20180508;I53ROTBIC1NU8GM4V7Y7
34567;18;43490;446;12;;0;20180508;FD1MZC30EMEHY4OKV5FI
34727;6;80362;299;21;;0;20180508;MBY6879K46NCHTISTFKD
34924;1;45159;290;12;;0;20180508;W46PW5ANDAASMUIA0ZZ0
35263;11;97183;361;25;;0;20180508;7TSGKLC2VFPUKS5VKZUP
35318;4;46941;206;12;;0;20180508;YGKX9N09YC31BEQKWMNJ
35351;22;64067;103;17;;0;20180508;JEJQKPZ3IMWIE280RRCT
35425;17;73419;124;19;;0;20180508;LSVR6G37SP0DOQZ4OXQ6
35538;8;66426;321;17;;0;20180508;GJ38R0DWVUEUFNNAIJ34
35801;21;56626;256;15;;0;20180508;Q6XTZAXSPS9ITLFO2NKW
35863;9;25953;285;7;0.2;0;20180508;7GN7UHFPWV9U31ZFMGJO
35991;4;3677;159;1;;0;20180508;NTMNHGBBGSACVM8FFERU
36063;16;98527;230;25;;0;20180508;6X1H8T4K847U28KMV4XX
36106;16;44890;276;12;;0;20180508;L6867L9532XV8ZR5AVTB
36346;14;51179;187;13;;0;20180508;99IYDNVOLW7IZ13MLGTP
36528;5;14767;276;4;;0;20180508;BV5VENG81AE40MGZIQ46
36672;15;66713;97;17;;0;20180508;6C63FJT17FIJ7CYXDR6V
36928;21;48744;399;13;0.2;0;20180508;FTNFGTBSWAE7W7CH4Y38
37147;22;19292;43;5;;0;20180508;NPKBD65TVQMZK70WFAYZ
37430;5;48617;438;13;;0;20180508;PXXL68U01GQ881OMSJP7
37626;5;32489;7;9;;0;20180508;5Z758WD4EGFTFQ03N1QS
37642;13;52413;230;14;;0;20180508;U22FVBEI2RFBGK290PV8
38127;16;63336;29;17;;0;20180508;OEOI0OFMJJC0BIV54SR8
38185;11;91259;298;24;0.1;0;20180508;8HAEO75QCP6B3QY1S6YW
38225;2;53370;327;14;;0;20180508;5W7J0NYNMTBW54OWKKD6
38384;14;45338;344;12;;0;20180508;EYX5K1Z8GARQEMBCV25I
38476;2;89658;301;23;;0;20180508;83I9V5OB16T0907ZKDRA
38603;14;44980;113;12;;0;20180508;2BSOZHU37KNKUQKW21I6
38626;6;87298;379;23;0.2;0;20180508;HUCB1OVP5L0YOVR9AKAU
38751;13;24769;141;7;;0;20180508;4YTJFKC2IEMJASS79REI
38835;17;63246;244;17;;0;20180508;E9C1N6M56TAZTD2P5X3V
39138;23;81775;260;21;;0;20180508;68J6IZGH4VFZC9BS39ME
39162;12;79130;126;21;0.2;0;20180508;6BZ8CH5LASX1U7IRLZAA
39322;2;77784;175;20;;0;20180508;DO6E300XV3XU5BQVMTDM
39364;16;81911;255;21;;0;20180508;M2IG7PIBT554G2GDNTHS
39749;15;38261;240;10;;0;20180508;1ZQ5GBGWNSNVV7HJTKL2
39860;12;3472;142;1;;0;20180508;CAEV99T3L5YHKMJNWAR1
39903;17;82579;239;21;;0;20180508;Y27C95SLJP2FG4A3SHTZ
39932;23;20808;35;6;0.2;0;20180508;K5QAF9O1CY97V12FAWWH
40063;7;41852;67;11;0.1;0;20180508;29VQPTGKHOSFYW9MRIMJ
40245;14;35670;6;10;0.2;0;20180508;C2U5MZ4ZDJUEO3XMNZTW
40288;22;14317;203;4;;0;20180508;69CIQD3NCYXWDMUMROZF
40465;21;53797;18;14;;0;20180508;X2NHXY1LEJSIVV7SFOQ1
40479;17;74772;148;19;;0;20180508;2YMYN40ANCM4Q659U9CH
40786;15;78540;33;20;;0;20180508;QWZEI2J5TL344ZBIRPXI
40953;18;80233;182;21;;0;20180508;75AZ1OMYCMZKG5VS7H9U
41150;19;51021;44;13;0.1;0;20180508;6DRYYDEH2HUNB6TDVJWU
41394;4;3353;388;1;0.1;0;20180508;K77WK0ZKVFJU911GHBCK
41465;15;14595;181;4;;0;20180508;S8D24T8HPHE1AO2RH2PA
41521;21;24415;114;7;;0;20180508;B65LOGQ5KO07XSCOPF9T
41610;5;47422;191;13;;0;20180508;EVARYGNQX81OJ6HRUVT5
41771;2;92040;111;24;0.2;0;20180508;0Y101SCH0TEL7XOYJE2J
42119;23;19962;4;6;;0;20180508;0LFYQ7CJ9MOXPC3HHX05
42261;18;27981;251;8;;0;20180508;XHUZ1TXP1GNR3K48K03T
42301;3;37814;133;10;0.2;0;20180508;NUK9583ZCX2L7L3VM58S
42590;3;53039;92;14;0.1;0;20180508;SMU810TJ87ZXFI6YLRI9
42658;10;47887;52;13;;0;20180508;2F2GP9UJCS20GUJ8SRZ0
42695;19;63412;409;17;;0;20180508;1LNW8UBZ1RZHMSC4NFXP
42763;14;28319;372;8;;0;20180508;ICIYDTUU4CHOFU1FJ8HR
42973;7;2932;306;1;;0;20180508;RHPAOG77L1M8NAS3NNOC
43097;14;4054;324;2;0.1;0;20180508;ISNWHKQ63WBHX6T1X7PD
43332;4;77423;333;20;;0;20180508;JT3946TOMTVCQ00NZL1T
43412;7;25910;104;7;;0;20180508;Y7YDKF1QKHGNTK6DD5Z1
43419;15;45542;314;12;;0;20180508;2DRR955HJIBXBZDIZWHU
43647;13;28653;412;8;;0;20180508;4AQJXWZB7HT4INVIXR07
43671;8;71856;378;19;;0;20180508;75VXFYBRX3UZIFCOP7RR
43999;6;50475;202;13;;0;20180508;PY3CN54YRLLLWUQJJFVP
44079;13;87738;421;23;;0;20180508;ID37MICL7C913RNMY3EQ
44127;1;43210;254;11;;0;20180508;55EM6NIXVPS7ARHUS1BL
44197;8;53778;394;14;;0;20180508;37G62ZOSZ12G4TZF37OH
44299;19;88811;253;23;0.2;0;20180508;DD6SNMNK1H2NZLSSNKW7
44362;16;37413;189;10;;0;20180508;ER78X9RZFVUMGMFVKK8Z
44969;7;36098;208;10;0.2;0;20180508;GU7H8WV6UICSYWRFCBNG
45118;19;8671;229;3;0.1;0;20180508;D4SGWKJWHDH40DZMT20C
45176;20;19774;100;6;;0;20180508;PP1OMCAJ1UX38ARJKEAH
45249;22;16279;239;5;;0;20180508;CG1PU7MF93UJVBCKT7JS
45279;21;11684;445;3;;0;20180508;32PMCS810QD7993DJYMS
45433;5;53735;242;14;;0;20180508;KJVK5CVGT8ZZIOEGT5EZ
45517;10;93831;347;24;;0;20180508;CSBCRDH2O2MGIQWCT4BE
45565;3;30356;263;8;;0;20180508;51863OMS24F4UB0F13U9
45599;8;25565;305;7;0.2;0;20180508;QNURZS4XVMJ9UI60L0JX
45623;2;37206;371;10;0.1;0;20180508;G9L7HVJT0DJSMYT5MW91
46042;21;63491;132;17;;0;20180508;J1KC61Z38FY29EG0LP7I
46442;1;24093;272;7;0.2;0;20180508;5ZDURRF9ZK4H58919KCB
46729;3;43084;201;11;;0;20180508;4F76VX0HDU22WJ315TA5
47076;17;5475;39;2;;0;20180508;98O7W6N24OJXOC2PKG0S
47154;1;60361;3;16;;0;20180508;TXA9NRK6NNN38BH0L1YQ
47379;7;23533;80;6;;0;20180508;LCPBGIGDXUTD3C8S37V1
47783;14;76977;39;20;;0;20180508;ZB8M6PFGMDQ8LTYXCUY4
48036;5;31089;4;8;;0;20180508;UXUNGN71VEPH39PS8XMI
48105;8;39451;231;10;;0;20180508;5Q0MU7AUMQVW5I0F1RH0
48204;21;37820;65;10;;0;20180508;PT1YQFIV7M6SVDBWIA6X
48391;4;71563;261;19;;0;20180508;Z5Y6HVOX71CQ8REPG3QV
48572;5;78802;320;20;;0;20180508;LMX9N064F4FI3TRZKENQ
48628;20;85003;173;22;0.2;0;20180508;WVYNSOAUVAZHTD5VY9WU
48689;21;79455;81;21;;0;20180508;J10C82D6ZBLSAF8A72UN
48845;21;17840;275;5;0.2;0;20180508;2J0YL7LEPVK2EA78VLUM
48858;6;98167;45;25;0.1;0;20180508;9MYVA97ZZ6DMB6H6GP1L
48866;21;93821;26;24;;0;20180508;JY16W1T3ZV1G4ZV3R57Q
49064;20;24216;140;7;0.2;0;20180508;5FZIQSV9QN8XYYOUVM8M
49134;4;29125;218;8;;0;20180508;V63A9B7LUCT4LTOOLQ28
49219;4;59783;349;16;;0;20180508;IP5UR32LWU6D8R3QF225
49222;1;96581;415;25;;0;20180508;B01OJDWF7ZJ2Y8ROB08E
49223;9;83000;16;22;;0;20180508;7HGHXT4TB6CZQEVYWAAO
49458;18;40183;169;11;0.2;0;20180508;55P1YQD4ZW8NATGE60HR
